,bsr_best,sd_price,sd_list_price,sd_previous_price,sd_number_bought_past_month,sd_average_rating,sd_total_reviews,sd_ratings_count,sd_stars,sd_rating_pct_1,sd_rating_pct_2,sd_rating_pct_3,sd_rating_pct_4,sd_rating_pct_5
7312,506.0,19.99,19.99,19.99,,4.3,1158.0,1158.0,4.3,7.0,6.0,7.0,11.0,69.0
7315,109.0,4.99,4.99,,2000000.0,4.4,489.0,489.0,4.4,5.0,4.0,7.0,12.0,72.0
7316,646.0,168.44,168.44,171.0,,3.9,388.0,388.0,3.9,16.0,4.0,9.0,12.0,59.0
7317,1156.0,,,,,4.3,,,,,,,,
7318,1884.0,,,,,4.4,840.0,840.0,4.4,8.0,2.0,4.0,13.0,73.0
7319,69.0,,,,50000000.0,4.3,96.0,96.0,4.3,15.0,0.0,3.0,7.0,75.0
7320,127.0,3.99,3.99,4.99,,3.9,136.0,,,,,,,
7321,2425.0,,,,,,,,,,,,,
7322,22.0,11.99,11.99,39.99,7000000.0,4.3,,,4.3,6.0,3.0,7.0,15.0,69.0
7323,785.0,,,,50000000.0,,,,,,,,,
7324,1715.0,,,,200000000.0,,,,,,,,,
7325,296.0,11.97,11.97,,1000000.0,4.4,1043.0,,,7.0,2.0,4.0,11.0,76.0
7326,34.0,25.95,25.95,31.95,5000000.0,4.3,,,,,,,,
7327,584.0,,,,,,,,,,,,,
7328,,18.99,18.99,19.99,100000000.0,4.2,607.0,607.0,4.2,8.0,5.0,8.0,15.0,64.0
7329,14.0,79.0,79.0,79.0,200000000.0,3.6,86.0,,,,,,,
7330,224.0,,,,50000000.0,4.3,159.0,159.0,4.3,11.0,1.0,5.0,10.0,73.0
7331,1710.0,,,,,,,,,,,,,
7332,21.0,23.99,23.99,29.99,1000000.0,4.6,432.0,432.0,4.6,4.0,2.0,5.0,7.0,82.0
7333,126.0,,,,1000000.0,,,,,,,,,
7334,16.0,21.99,21.99,26.99,,4.5,,,,,,,,
7335,65.0,55.99,55.99,,50000000.0,4.0,293.0,293.0,4.0,14.0,4.0,8.0,12.0,62.0
7336,172.0,15.98,15.98,25.95,,4.2,,,4.2,8.0,4.0,8.0,15.0,65.0
7337,625.0,15.99,15.99,,300000000.0,4.6,,,,,,,,
7338,2461.0,,,,,4.2,9.0,9.0,4.2,17.0,0.0,0.0,12.0,71.0
7339,79.0,19.88,19.88,35.99,,4.1,,,4.1,12.0,5.0,8.0,14.0,61.0
7340,116.0,,,,200000000.0,3.9,521.0,,,,,,,
7341,,,,,,4.4,1486.0,,,,,,,
7342,1767.0,,,,,4.2,170.0,170.0,4.2,9.0,3.0,6.0,14.0,68.0
7343,1749.0,,,,,4.1,146.0,,,,,,,
7344,32.0,15.99,15.99,,100000000.0,4.4,149.0,149.0,4.4,4.0,5.0,10.0,8.0,73.0
