Model,Target,N_Features,Train_R2,Test_R2,Test_RMSE,Test_MAE
Main BSR - Top Features,Main BSR,20,0.08685028594343036,0.08344346091491295,2.319943971124981,1.807413561634763
Main BSR - All Features (Ridge),Main BSR,7581,0.3510701687366773,0.22280031667979638,2.136309509884759,1.6630624643197969
Lowest BSR - Top Features,Lowest BSR,20,0.02536885973824543,0.0218761340067245,1.7887710968797426,1.4118024666796611
Lowest BSR - All Features (Ridge),Lowest BSR,7581,0.23889107394603593,0.06361386304172312,1.7501905264868498,1.3799044776947742
